n	x       	y
1	0.122649	0.887835
2	0.263770	0.278258
3	0.806001	0.466681
4	0.570725	0.085548
5	0.312395	0.418159
6	0.452231	0.275218
7	0.645848	0.223191
8	0.181236	0.082303
9	0.209379	0.281683
10	0.611215	0.260441
11	0.044576	0.382106
12	0.132066	0.390263
13	0.667421	0.761679
14	0.121514	0.888571
15	0.098595	0.774231
16	0.478500	0.487275
17	0.309140	0.496849
18	0.462386	0.007916
19	0.393371	0.305099
20	0.643112	0.758748
21	0.330575	0.953747
22	0.298616	0.172341
23	0.601790	0.408124
24	0.238894	0.947084
25	0.490531	0.441826
26	0.609482	0.238920
27	0.325739	0.679508
28	0.705430	0.872143
29	0.836697	0.617816
30	0.840888	0.320812
31	0.204638	0.470706
32	0.656387	0.794738
33	0.242081	0.193738
34	0.349040	0.304287
