n	x       	y
1	0.247343	0.036058
2	0.751559	0.343538
3	0.792493	0.213644
4	0.593129	0.782784
5	0.279347	0.813394
6	0.937162	0.576043
7	0.778545	0.930741
8	0.177715	0.443811
9	0.980859	0.338673
10	0.884124	0.628149
11	0.737396	0.431719
12	0.068867	0.227703
13	0.961586	0.979623
14	0.046018	0.811364
15	0.915958	0.536441
16	0.529086	0.896353
17	0.596888	0.397601
18	0.738861	0.268811
19	0.055811	0.469952
20	0.777652	0.736752
21	0.827395	0.835555
22	0.913015	0.426120
23	0.851559	0.135242
24	0.895211	0.568861
25	0.460995	0.127893
26	0.357653	0.514255
27	0.149255	0.319803
28	0.724558	0.767020
29	0.332956	0.797923
30	0.036820	0.782376
31	0.477979	0.202619
32	0.524262	0.312433
33	0.482718	0.969857
34	0.574495	0.802041
